"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Kevin Long","IRL","Burnley","Premier League","2017-2018","1684.78","26","31","DF","LowBlockCentralDefender","1440","16","9.31","90.69","Right","-0.13","0.02","2.36","-0.05","0.15","0.01","","","1600000","",""
"Streli Mamba","GER","Paderborn 07","Bundesliga","2019-2020","1493.71","25","27","FW","Finisher","1521","18","12.45","87.55","Right","-0.13","-0.04","3.46","0.1","0.2","-0.04","","","1600000","3612048",""
"Ryan Bertrand","ENG","Southampton","Premier League","2018-2019","1673.84","28","32","DF","OffensiveWideProgressor","2160","24","89.66","10.34","Left","-0.13","-0.04","3.3","0.14","0.14","-0.04","4802361","3411049","10500000","",""
"Pablo Maffeo","ESP","Huesca","La Liga","2020-2021","1609.55","23.83","24","DF","OffensiveWideProgressor","1750","22","12.88","87.12","Right","-0.13","-0.01","3.3","0.14","0.17","-0.01","","","","",""
"Fabian Lustenberger","SUI","Hertha BSC","Bundesliga","2018-2019","1636.97","30","33","DF,MF","PossessionOrientedCentralDefender","2172","24","13.59","86.41","Right","-0.13","-0.04","2.89","0.1","0.12","-0.04","2253963","3196622","","",""
"Aday","ESP","Girona","La Liga","2017-2018","1662.4","29","34","DF,MF","OffensiveWideProgressor","1840","20","15.25","84.75","Right","-0.13","-0.02","3.29","0.14","0.16","-0.02","","","","",""
"Harry Wilson","WAL","Bournemouth","Premier League","2019-2020","1633.84","22","24","MF,FW","Playmaker","1646","20","89.34","10.66","Left","-0.13","-0.03","3.5","-0.21","0.19","-0.04","","","17500000","14391670",""
"Ludovic Baal","GUF","Brest","Ligue 1","2019-2020","1533.16","33","35","DF","DefensiveWideProgressor","827","9","95.99","4.01","Left","-0.13","0.08","2.17","-0.51","0.24","0.08","","","325000","449198",""
"Aleix Febas","ESP","Mallorca","La Liga","2019-2020","1604.39","23","25","MF","AttackingCentralProgressor","1690","22","15.01","84.99","Right","-0.13","-0.03","2.52","-0.24","0.13","-0.03","","","2500000","3087083",""
"Adrien Hunou","FRA","Rennes","Ligue 1","2018-2019","1615.97","24","27","FW,MF","Finisher","1240","14","5.47","94.53","Right","-0.13","0.01","3.46","0.1","0.25","0","913800","1485061","5500000","",""
"Emmanuel Boateng","GHA","LA Galaxy","MLS","2018","","24","27","FW","Dribbler","1192","12","86.56","13.44","Left","-0.13","-0.02","2.93","0","0.22","-0.02","130000","255517","","","179987"
"Coke","ESP","Levante","La Liga","2019-2020","1698.34","32","34","DF","DefensiveWideProgressor","989","11","13.75","86.25","Right","-0.13","0.04","2.16","-0.51","0.2","0.04","1014453","2154327","1000000","1134580",""
"Joris Gnagnon","FRA","Rennes","Ligue 1","2019-2020","1646.45","22","24","DF","LowBlockCentralDefender","1278","14","13.55","86.45","Right","-0.13","0","1.94","-0.48","0.14","0","","","4000000","5757337",""
"Gaston Ramirez","URU","Sampdoria","Serie A","2018-2019","1608.71","27","31","MF,FW","Playmaker","1578","19","89.58","10.42","Left","-0.13","-0.02","3.8","0.1","0.22","-0.02","2303725","3104675","6000000","",""
"Jose Luis Palomino","ARG","Atalanta","Serie A","2018-2019","1746.85","28","31","DF","PossessionOrientedCentralDefender","2261","25","84.89","15.11","Left","-0.13","-0.04","2.89","0.1","0.11","-0.04","942073","1224554","10000000","",""
"Mateo Musacchio","ARG","Milan","Serie A","2017-2018","1720.63","26","31","DF","PossessionOrientedCentralDefender","1202","12","10.54","89.46","Right","-0.13","0.06","2.88","0.1","0.22","0.06","","","7000000","",""
"Sasa Lukic","SRB","Torino","Serie A","2019-2020","1581.91","22","25","MF","AttackingCentralProgressor","1861","20","13.04","86.96","Right","-0.13","-0.04","2.51","-0.24","0.12","-0.04","838027","1251236","","",""
"Aymeric Laporte","FRA","Manchester City","Premier League","2019-2020","1988.88","25","27","DF","PossessionOrientedCentralDefender","1097","14","80.67","19.33","Left","-0.13","0.08","2.88","0.09","0.24","0.08","8232619","7310826","60000000","30628300",""
"Renato Sanches","POR","Swansea City","Premier League","2017-2018","1615.29","19","24","MF","AttackingCentralProgressor","702","9","9.05","90.95","Right","-0.14","0.01","1.23","-1.53","0.16","-0.01","","","","",""
"Robin Knoche","GER","Wolfsburg","Bundesliga","2019-2020","1718.13","27","29","DF","PossessionOrientedCentralDefender","1594","17","8.92","91.08","Right","-0.14","0.01","2.88","0.09","0.16","0.01","2253963","2709266","5500000","6753780",""
"Mehdi Zerkane","ALG","Bordeaux","Ligue 1","2020-2021","1506.97","21.82","22","MF,FW","AttackingCentralProgressor","1175","15","91.94","8.06","Left","-0.14","0.03","2.51","-0.25","0.19","0.03","","","","",""
"Omer Toprak","TUR","Werder Bremen","Bundesliga","2020-2021","1607.06","31.81","32","DF","LowBlockCentralDefender","1807","22","31.05","68.95","Right","-0.14","-0.01","2.49","0.07","0.12","-0.01","","","3000000","",""
"George Baldock","ENG","Sheffield Utd","Premier League","2020-2021","1602.77","28.17","28","DF","OffensiveWideProgressor","2607","30","6.9","93.1","Right","-0.14","-0.07","3.28","0.13","0.11","-0.07","","","6500000","",""
"Caglar Soyuncu","TUR","Leicester City","Premier League","2020-2021","1815.46","24.97","25","DF","PossessionOrientedCentralDefender","1549","16","32.35","67.65","Right","-0.14","0.01","2.88","0.09","0.17","0.01","","","","",""
"Ramadan Sobhi","EGY","Stoke City","Premier League","2017-2018","1625.11","20","24","MF,FW","Dribbler","1238","12","11.84","88.16","Right","-0.14","-0.03","2.85","-0.07","0.21","-0.03","","","","",""
"Valentin Rongier","FRA","Marseille","Ligue 1","2019-2020","1678.85","24","27","MF","AttackingCentralProgressor","1790","20","15.47","84.53","Right","-0.14","-0.02","2.99","0.23","0.15","-0.01","","","16000000","13500193",""
"Sanjin Prcic","BIH","Strasbourg","Ligue 1","2018-2019","1552.1","24","28","MF","DefensiveCentralProgressor","1053","12","13.45","86.55","Right","-0.14","0.04","1.92","-0.08","0.16","0.04","1239510","1439733","","",""
"Lyanco","BRA","Bologna","Serie A","2018-2019","1572.21","21","24","DF","LowBlockCentralDefender","1119","13","10.56","89.44","Right","-0.14","0.02","1.92","-0.49","0.15","0.02","735111","939153","","",""
"Russell Teibert","CAN","Vancouver","MLS","2019","","26","29","MF","DefensiveCentralProgressor","2194","26","80.99","19.01","Left","-0.14","-0.05","1.91","-0.08","0.08","-0.05","190000","215122","800000","","117330"
"Isaac Hayden","ENG","Newcastle Utd","Premier League","2018-2019","1715.6","23","26","MF","DefensiveCentralProgressor","1859","21","18.9","81.1","Right","-0.15","-0.03","1.85","-0.15","0.09","-0.03","1509314","1843907","8000000","",""
"David Timor","ESP","Getafe","La Liga","2020-2021","1656.11","31.56","32","MF,DF","DefensiveCentralProgressor","1306","14","91.08","8.92","Left","-0.15","0","1.76","-0.24","0.12","0","","","1500000","",""
"Nianzou Kouassi","FRA","Paris S-G","Ligue 1","2019-2020","1895.8","17","19","DF,MF","DefensiveCentralProgressor","452","4","8.78","91.22","Right","-0.15","0.05","0.85","-1.15","0.17","0.05","","","","",""
"James McCarthy","IRL","Crystal Palace","Premier League","2019-2020","1677.91","28","31","MF","DefensiveCentralProgressor","1680","16","29.22","70.78","Right","-0.15","-0.02","1.91","-0.08","0.1","-0.02","","","4000000","4524692",""
"Luca Caldirola","ITA","Benevento","Serie A","2020-2021","1513.24","30.27","30","DF","LowBlockCentralDefender","1401","15","85.35","14.65","Left","-0.15","0.02","2.48","0.07","0.16","0.03","","","","",""
"Phil Bardsley","SCO","Burnley","Premier League","2018-2019","1681.7","33","36","DF","DefensiveWideProgressor","1670","19","14.15","85.85","Right","-0.15","-0.04","2.15","-0.53","0.12","-0.04","1715129","1709641","800000","",""
"Cristiano Piccini","ITA","Valencia","La Liga","2018-2019","1809.51","25","29","DF","OffensiveWideProgressor","1868","21","15.54","84.46","Right","-0.15","-0.02","3.27","0.12","0.16","-0.02","1386532","1159578","","",""
"Manuel Locatelli","ITA","Milan","Serie A","2017-2018","1720.63","19","23","MF","DefensiveCentralProgressor","684","5","19.08","80.92","Right","-0.15","-0.01","0.85","-1.15","0.11","-0.01","","","","",""
"Nemanja Radoja","SRB","Levante","La Liga","2019-2020","1698.34","26","28","MF","DefensiveCentralProgressor","1993","22","22.53","77.47","Right","-0.15","-0.04","1.91","-0.09","0.09","-0.04","","","3500000","5524707",""
"Ezequiel Garay","ARG","Valencia","La Liga","2017-2018","1797.27","30","35","DF","LowBlockCentralDefender","2026","23","7.34","92.66","Right","-0.15","-0.03","2.34","-0.08","0.1","-0.03","","","4800000","",""
"Marco Richter","GER","Augsburg","Bundesliga","2017-2018","1614.1","19","24","FW,MF","Playmaker","644","6","26.03","73.97","Right","-0.15","-0.06","1.03","-2.68","0.14","-0.09","","","8000000","",""
"Kenny Tete","NED","Lyon","Ligue 1","2018-2019","1726.96","22","26","DF","OffensiveWideProgressor","1048","12","3.15","96.85","Right","-0.15","0.05","2.59","-0.56","0.22","0.04","1893194","1051715","5500000","",""
"Amine Harit","MAR","Schalke 04","Bundesliga","2018-2019","1646.45","21","24","MF,FW","Dribbler","1082","12","10.95","89.05","Right","-0.15","0","2.84","-0.08","0.24","0","1696410","1377963","20000000","",""
"Manuel Iturra","CHI","Malaga","La Liga","2017-2018","1580.85","33","37","MF","DefensiveCentralProgressor","1583","18","7.34","92.66","Right","-0.15","-0.02","1.75","-0.24","0.1","-0.02","","","","",""
"Freddie Veseli","ALB","Empoli","Serie A","2018-2019","1547.51","25","29","DF","PossessionOrientedCentralDefender","2539","28","22.48","77.52","Right","-0.15","-0.05","2.87","0.08","0.1","-0.05","","","","",""
"Igor Zubeldia","ESP","Real Sociedad","La Liga","2020-2021","1742.85","24.12","24","DF","PossessionOrientedCentralDefender","1937","21","7.54","92.46","Right","-0.15","-0.02","2.86","0.08","0.13","-0.02","","","24000000","",""
"Omir Fernandez","USA","NY Red Bulls","MLS","2019","","19","22","FW,MF","Dribbler","580","3","14.79","85.21","Right","-0.15","0","1.58","-1.34","0.25","0.01","","","400000","","97058"
"Jan Vertonghen","BEL","Tottenham","Premier League","2019-2020","1808.91","32","34","DF","PossessionOrientedCentralDefender","1645","19","74.46","25.54","Left","-0.15","-0.02","2.6","-0.19","0.14","-0.01","6158632","6750509","14500000","11367737",""
"Aimen Moueffek","FRA","Saint-Etienne","Ligue 1","2020-2021","1559.51","20.09","20","DF,MF","DefensiveCentralProgressor","703","6","14.87","85.13","Right","-0.15","0.11","1.84","-0.15","0.24","0.11","","","","",""
"Sergio Postigo","ESP","Levante","La Liga","2020-2021","1671.31","32.52","33","DF","LowBlockCentralDefender","1623","19","9.76","90.24","Right","-0.15","0","2.48","0.06","0.14","0","","","1200000","",""
"Ronaldo Vieira","GNB","Sampdoria","Serie A","2019-2020","1589.41","21","23","MF","AttackingCentralProgressor","1819","20","17.28","82.72","Right","-0.16","-0.04","2.49","-0.27","0.12","-0.04","1570876","1331003","6500000","5701817",""
"Rabbi Matondo","WAL","Schalke 04","Bundesliga","2019-2020","1608.03","18","21","FW,MF","Finisher","1162","14","9.35","90.65","Right","-0.16","-0.1","2.07","-1.29","0.16","-0.09","203569","1114489","8000000","7789487",""
"Jordan Marie","FRA","Dijon","Ligue 1","2017-2018","1549.68","25","30","MF","DefensiveCentralProgressor","1885","21","9.51","90.49","Right","-0.16","-0.04","1.9","-0.09","0.09","-0.03","","","","",""
"Lucas Torro","ESP","Osasuna","La Liga","2020-2021","1692.06","26.81","27","MF","DefensiveCentralProgressor","1399","15","15.74","84.26","Right","-0.16","0","1.9","-0.09","0.12","0","","","","",""
"Raul Albentosa","ESP","La Coruna","La Liga","2017-2018","","28","33","DF","LowBlockCentralDefender","1747","19","15.62","84.38","Right","-0.16","-0.01","2.33","-0.09","0.12","-0.01","","","","",""
"Nacho","ESP","Real Madrid","La Liga","2018-2019","1837.72","28","31","DF","DefensiveCentralProgressor","1698","19","22.27","77.73","Right","-0.16","-0.03","1.9","-0.09","0.1","-0.02","5236252","2508766","","",""
"Danilo Barbosa","BRA","Nice","Ligue 1","2018-2019","1596.18","22","25","MF","AttackingCentralProgressor","1548","18","23.44","76.56","Right","-0.16","-0.02","2.49","-0.27","0.14","-0.02","","","","",""
"Ruben Vinagre","POR","Wolves","Premier League","2018-2019","1719.59","19","22","DF,MF","OffensiveWideProgressor","710","7","86.77","13.23","Left","-0.16","0.03","1.6","-1.55","0.2","0.02","2058155","2496220","9000000","",""
"Yunus Musah","USA","Valencia","La Liga","2020-2021","1689.15","18.45","19","MF","Dribbler","1511","17","13.44","86.56","Right","-0.16","-0.16","1.58","-1.35","0.09","-0.15","","","","",""
"Nicola Murru","ITA","Sampdoria","Serie A","2017-2018","1600.93","22","27","DF","DefensiveWideProgressor","1449","16","93.1","6.9","Left","-0.16","-0.02","2.31","-0.36","0.14","-0.02","","","5000000","",""
"Jay Chapman","CAN","Toronto FC","MLS","2018","","24","27","MF,FW","AttackingCentralProgressor","987","10","21.38","78.62","Right","-0.16","0.1","2.97","0.21","0.27","0.11","117500","232037","","","182445"
"Gael Kakuta","COD","Amiens","Ligue 1","2019-2020","1484.79","28","30","MF,FW","Playmaker","2001","23","87.03","12.97","Left","-0.16","-0.07","3.78","0.07","0.17","-0.06","","","2800000","3016883",""
"Carlos Salcedo","MEX","Eint Frankfurt","Bundesliga","2017-2018","1627.17","23","28","DF","PossessionOrientedCentralDefender","1607","17","19.34","80.66","Right","-0.16","-0.02","2.36","-0.43","0.13","-0.02","","","","",""
"Ainsley Maitland-Niles","ENG","Arsenal","Premier League","2017-2018","1818.72","19","24","DF,MF","OffensiveWideProgressor","914","8","20.53","79.47","Right","-0.16","-0.01","1.6","-1.55","0.16","-0.02","","","14500000","",""
"Bassem Srarfi","TUN","Nice","Ligue 1","2017-2018","1637.11","20","24","FW,MF","Dribbler","870","10","80.28","19.72","Left","-0.16","0.06","2.83","-0.09","0.29","0.05","","","","",""
"Aritz Elustondo","ESP","Real Sociedad","La Liga","2020-2021","1742.85","27.12","27","DF","PossessionOrientedCentralDefender","1636","19","9.68","90.32","Right","-0.16","0","2.86","0.07","0.16","0","","","10000000","",""
"Tomas Soucek","CZE","West Ham","Premier League","2019-2020","1689.95","24","26","MF","DefensiveCentralProgressor","1040","12","14.01","85.99","Right","-0.16","0.04","1.9","-0.1","0.16","0.04","","","","",""
"Sofiane Boufal","MAR","Southampton","Premier League","2019-2020","1724.54","25","28","MF,FW","Dribbler","764","8","20.81","79.19","Right","-0.16","0.1","2.89","-0.03","0.34","0.1","","","8000000","8517787",""
"Matej Vydra","CZE","Burnley","Premier League","2020-2021","1740.14","29.03","29","FW","Finisher","1247","14","22.73","77.27","Right","-0.16","0","3.42","0.07","0.25","0","","","","",""
"Enes Unal","TUR","Villarreal","La Liga","2017-2018","1759.18","20","24","FW","Finisher","1134","11","15.2","84.8","Right","-0.16","-0.03","2.83","-0.53","0.22","-0.02","","","","",""
"Musa Barrow","GAM","Atalanta","Serie A","2017-2018","1732.39","18","23","FW,MF","Finisher","443","5","23.89","76.11","Right","-0.16","0.16","2.06","-1.29","0.42","0.17","","","","",""
"Sofiane Boufal","MAR","Angers","Ligue 1","2020-2021","1523.9","27.65","28","FW,MF","Dribbler","732","9","21.77","78.23","Right","-0.16","0.12","2.89","-0.03","0.36","0.12","","","","",""
"Filippo Romagna","ITA","Cagliari","Serie A","2017-2018","1550.05","20","24","DF","PossessionOrientedCentralDefender","1888","21","4.75","95.25","Right","-0.16","-0.04","2.36","-0.43","0.11","-0.04","","","","",""
"Saul Niguez","ESP","Atletico Madrid","La Liga","2020-2021","1884.99","26.47","27","MF,DF","AttackingCentralProgressor","1834","19","79.91","20.09","Left","-0.17","-0.02","2.96","0.21","0.15","-0.02","","","","",""
"Nordin Amrabat","MAR","Leganes","La Liga","2017-2018","1633.34","30","34","FW,MF","Finisher","1622","17","7.88","92.12","Right","-0.17","-0.06","3.42","0.06","0.19","-0.06","","","","",""
"Kenny Tete","NED","Lyon","Ligue 1","2019-2020","1694.29","23","26","DF","OffensiveWideProgressor","1072","9","4.7","95.3","Right","-0.17","0.04","2.58","-0.57","0.22","0.04","1893194","1183516","5500000","7317333",""
"Jose Maria Gimenez","URU","Atletico Madrid","La Liga","2019-2020","1897.78","24","26","DF","LowBlockCentralDefender","1755","19","18.45","81.55","Right","-0.17","-0.01","2.32","-0.1","0.12","-0.01","","","","",""
"Anthony Goncalves","FRA","Strasbourg","Ligue 1","2017-2018","1482.96","31","35","MF,FW","Playmaker","1758","18","13.34","86.66","Right","-0.17","-0.07","3.5","-0.21","0.18","-0.05","","","","",""
"Daniele Bonera","ITA","Villarreal","La Liga","2017-2018","1759.18","36","40","DF","PossessionOrientedCentralDefender","1192","14","14.67","85.33","Right","-0.17","-0.01","1.54","-1.25","0.12","-0.04","","","","",""
"Danny da Costa","GER","Eint Frankfurt","Bundesliga","2017-2018","1627.17","24","28","DF","DefensiveWideProgressor","1202","13","13.29","86.71","Right","-0.17","0.04","2.69","0.02","0.2","0.04","","","7000000","",""
"Enrico Valentini","ITA","Nurnberg","Bundesliga","2018-2019","1492.29","29","32","DF","DefensiveWideProgressor","1299","15","10.63","89.37","Right","-0.17","0.03","2.69","0.02","0.19","0.03","","","","",""
"Javairo Dilrosun","NED","Hertha BSC","Bundesliga","2019-2020","1648.52","21","23","MF,FW","Dribbler","1309","16","83.6","16.4","Left","-0.17","-0.04","2.82","-0.1","0.19","-0.05","565470","1376989","14500000","11351270",""
"Michael Parkhurst","USA","Atlanta","MLS","2019","","35","37","DF","DefensiveWideProgressor","1444","15","28.24","71.76","Right","-0.17","-0.02","2.12","-0.55","0.13","-0.03","300000","323252","","","130230"
"Jordan Ikoko","COD","Guingamp","Ligue 1","2018-2019","1467.78","24","27","DF","DefensiveWideProgressor","1707","19","15.18","84.82","Right","-0.17","-0.02","2.69","0.01","0.14","-0.02","333627","1018715","","",""
"Keven Schlotterbeck","GER","Freiburg","Bundesliga","2020-2021","1672.11","24.04","24","DF","LowBlockCentralDefender","1654","18","71.55","28.45","Left","-0.17","-0.01","2.32","-0.1","0.13","-0.01","","","","",""
"Krzysztof Piatek","POL","Hertha BSC","Bundesliga","2020-2021","1641.09","25.86","26","FW","Finisher","1573","17","10.65","89.35","Right","-0.17","-0.05","3.42","0.06","0.2","-0.05","","","","",""
"Wes Morgan","JAM","Leicester City","Premier League","2018-2019","1738.56","34","37","DF","PossessionOrientedCentralDefender","1925","21","15.16","84.84","Right","-0.17","-0.04","2.58","-0.21","0.12","-0.03","4116310","3848718","1200000","",""
"Wesley Fofana","FRA","Saint-Etienne","Ligue 1","2019-2020","1549.8","18","21","DF","PossessionOrientedCentralDefender","1215","13","10.66","89.34","Right","-0.17","-0.01","1.93","-0.86","0.14","-0.01","","","","",""
"Oriol Rosell","ESP","Orlando City","MLS","2019","","26","29","MF","DefensiveCentralProgressor","1466","16","13.98","86.02","Right","-0.17","-0.01","1.89","-0.11","0.12","-0.01","522500","416943","600000","","116101"
"Jetro Willems","NED","Newcastle Utd","Premier League","2019-2020","1681.85","25","27","DF","DefensiveWideProgressor","1493","18","78.69","21.31","Left","-0.17","0","2.69","0.01","0.16","0","","","4500000","5554643",""
"Ronald Araujo","URU","Barcelona","La Liga","2020-2021","1920.34","22.18","22","DF","PossessionOrientedCentralDefender","1285","13","10.15","89.85","Right","-0.17","0.01","2.35","-0.44","0.16","0.01","","","","",""
"Ragnar Klavan","EST","Liverpool","Premier League","2017-2018","1913.55","31","36","DF","PossessionOrientedCentralDefender","1451","16","86.12","13.88","Left","-0.17","0","2.58","-0.21","0.16","0","","","","",""
"Jemerson","BRA","Monaco","Ligue 1","2018-2019","1562.92","25","29","DF,MF","PossessionOrientedCentralDefender","2224","25","27.53","72.47","Right","-0.17","-0.04","2.84","0.05","0.12","-0.04","3645020","2403104","4800000","",""
"Francois Moubandje","SUI","Toulouse","Ligue 1","2017-2018","1537.36","27","31","DF","DefensiveWideProgressor","1700","20","81.73","18.27","Left","-0.17","-0.02","2.68","0.01","0.14","-0.02","","","","",""
"Miguel Veloso","POR","Hellas Verona","Serie A","2020-2021","1575.84","35","35","MF","DefensiveCentralProgressor","1276","15","73.77","26.23","Left","-0.18","0","1.72","-0.27","0.12","0","","","1000000","",""
"Perparim Hetemaj","FIN","Chievo","Serie A","2018-2019","1442.57","31","35","MF","AttackingCentralProgressor","2156","25","19.8","80.2","Right","-0.18","-0.06","2.38","-0.38","0.1","-0.07","1256474","1618883","","",""
"Ignazio Abate","ITA","Milan","Serie A","2018-2019","1710.55","31","35","DF","DefensiveWideProgressor","1302","15","7.42","92.58","Right","-0.18","-0.01","2.11","-0.56","0.15","-0.01","4816673","3099779","","",""
"Josuha Guilavogui","FRA","Wolfsburg","Bundesliga","2018-2019","1704.17","27","31","MF","DefensiveCentralProgressor","1570","18","14.46","85.54","Right","-0.18","-0.02","1.88","-0.11","0.11","-0.02","2817172","2638386","11000000","",""
"Jose Maria Gimenez","URU","Atletico Madrid","La Liga","2020-2021","1884.99","26.3","26","DF","PossessionOrientedCentralDefender","1675","19","16.97","83.03","Right","-0.18","0","2.84","0.05","0.15","0","","","","",""
"Orel Mangala","BEL","Stuttgart","Bundesliga","2017-2018","1658.9","19","23","MF","DefensiveCentralProgressor","779","7","13.91","86.09","Right","-0.18","-0.02","0.81","-1.18","0.09","-0.03","","","","",""
"Jordan Torunarigha","GER","Hertha BSC","Bundesliga","2019-2020","1648.52","21","24","DF","PossessionOrientedCentralDefender","1462","16","75.64","24.36","Left","-0.18","-0.01","2.34","-0.45","0.14","-0.01","168510","1058655","13000000","8689023",""
"Ibrahima Niane","SEN","Metz","Ligue 1","2017-2018","1456.77","18","22","MF,FW","Finisher","850","6","12","88","Right","-0.18","-0.05","2.05","-1.31","0.22","-0.03","","","3200000","",""
"Alexandre Mendy","GNB","Bordeaux","Ligue 1","2017-2018","1633.16","23","27","FW,MF","Finisher","799","8","8.13","91.87","Right","-0.18","0.06","2.81","-0.55","0.32","0.07","","","","",""
"Anthony Briancon","FRA","Nimes","Ligue 1","2020-2021","1507.25","26.45","27","DF","LowBlockCentralDefender","1225","14","4.38","95.62","Right","-0.18","0.04","2.31","-0.11","0.17","0.04","","","","",""
"Mario Rui","POR","Napoli","Serie A","2020-2021","1799.36","29.96","30","DF","OffensiveWideProgressor","1643","17","92.01","7.99","Left","-0.18","0","3.24","0.09","0.18","0","","","14000000","",""
"Mattias Svanberg","SWE","Bologna","Serie A","2018-2019","1572.21","19","22","MF","AttackingCentralProgressor","1176","13","18.67","81.33","Right","-0.18","-0.05","1.18","-1.58","0.09","-0.08","838027","933378","5000000","",""
"Alexis Sanchez","CHI","Manchester Utd","Premier League","2017-2018","1880.94","28","33","FW,MF","Playmaker","1043","12","4.53","95.47","Right","-0.18","0.09","3.75","0.04","0.32","0.09","","","","",""
"Oniel Fisher","JAM","D.C. United","MLS","2018","","26","30","DF","DefensiveWideProgressor","1832","20","34.26","65.74","Right","-0.18","-0.03","2.68","0","0.13","-0.03","68906","296651","300000","","164630"
"Younousse Sankhare","SEN","Bordeaux","Ligue 1","2018-2019","1553.36","28","32","MF","AttackingCentralProgressor","1476","17","84.31","15.69","Left","-0.18","0.01","2.94","0.19","0.18","0.01","1082310","1370779","","",""
"Neven Subotic","SRB","Saint-Etienne","Ligue 1","2017-2018","1620.35","28","33","DF","LowBlockCentralDefender","1440","16","18.93","81.07","Right","-0.19","0.01","2.3","-0.12","0.14","0.01","","","","",""
"Stephy Mavididi","ENG","Dijon","Ligue 1","2019-2020","1519.01","21","23","FW,MF","Dribbler","1391","16","15.93","84.07","Right","-0.19","-0.06","2.8","-0.12","0.18","-0.06","","","5000000","5459687",""
"Ruben Pardo","ESP","Real Sociedad","La Liga","2018-2019","1715.61","25","29","MF,FW","AttackingCentralProgressor","1368","16","14.5","85.5","Right","-0.19","0.02","2.94","0.18","0.19","0.03","451245","1747376","","",""
"Anuar","MAR","Valladolid","La Liga","2018-2019","1613.73","23","26","MF","DefensiveCentralProgressor","1081","12","10.29","89.71","Right","-0.19","0.03","1.81","-0.19","0.15","0.03","260116","1236669","","",""
"Mouctar Diakhaby","FRA","Valencia","La Liga","2019-2020","1733.38","22","25","DF","LowBlockCentralDefender","1444","15","11.47","88.53","Right","-0.19","-0.02","1.88","-0.54","0.12","-0.02","901359","1019223","10000000","9194103",""
"Marco D'Alessandro","ITA","Benevento","Serie A","2017-2018","1449.56","26","30","MF,FW","Dribbler","1043","12","18.25","81.75","Right","-0.19","0.01","2.87","-0.06","0.25","0.01","","","","",""
"Paul Lasne","FRA","Brest","Ligue 1","2020-2021","1510.05","32.32","32","MF","DefensiveCentralProgressor","1681","19","43.76","56.24","Dual","-0.19","-0.03","1.71","-0.28","0.09","-0.03","","","1700000","",""
"Claude Dielna","","New England","MLS","2018","","30","34","DF","PossessionOrientedCentralDefender","1333","15","86.2","13.8","Left","-0.19","0.03","2.83","0.04","0.19","0.04","909861","721569","","","173845"
"Andres Iniesta","ESP","Barcelona","La Liga","2017-2018","2025.35","33","37","MF,FW","Playmaker","1862","25","13.83","86.17","Right","-0.19","-0.08","3.48","-0.23","0.17","-0.06","","","","",""
"Geronimo Poblete","ARG","Metz","Ligue 1","2017-2018","1456.77","24","28","MF","DefensiveCentralProgressor","1658","17","9.74","90.26","Right","-0.19","-0.02","1.87","-0.13","0.1","-0.02","","","","",""
"Anthony Caci","FRA","Strasbourg","Ligue 1","2019-2020","1577.77","22","24","DF","DefensiveWideProgressor","691","8","35.39","64.61","Right","-0.19","0.14","2.28","-0.39","0.3","0.14","291783","1100280","3200000","2211858",""
"Mehdi Leris","FRA","Chievo","Serie A","2018-2019","1442.57","20","23","MF,FW","AttackingCentralProgressor","1607","18","16.72","83.28","Right","-0.19","-0.03","2.45","-0.3","0.14","-0.03","105177","1038072","","",""
"Allan Nyom","CMR","West Brom","Premier League","2017-2018","1617.33","29","33","DF","DefensiveWideProgressor","2310","25","19.32","80.68","Right","-0.19","-0.06","2.67","-0.01","0.1","-0.05","","","","",""
"Godfred Donsah","GHA","Bologna","Serie A","2017-2018","1546.53","21","25","MF","AttackingCentralProgressor","1794","20","16.58","83.42","Right","-0.19","-0.04","2.45","-0.3","0.12","-0.04","","","","",""
"Mario Gomez","GER","Stuttgart","Bundesliga","2017-2018","1658.9","32","36","FW","Finisher","1385","16","22.27","77.73","Right","-0.19","-0.02","3.63","0.27","0.24","-0.01","","","","",""
"Diego Farias","BRA","Lecce","Serie A","2019-2020","1501.84","29","31","FW,MF","Dribbler","824","7","7.83","92.17","Right","-0.19","0.07","2.86","-0.06","0.31","0.07","","","3500000","2539991",""
"Wakaso","GHA","Alaves","La Liga","2017-2018","1704.9","27","31","MF,FW","DefensiveCentralProgressor","1099","12","96.73","3.27","Left","-0.19","0.03","1.86","-0.13","0.15","0.03","","","","",""
"Florian Aye","FRA","Brescia","Serie A","2019-2020","1449.68","22","24","FW,MF","Finisher","1380","15","17.13","82.87","Right","-0.19","-0.07","2.8","-0.56","0.18","-0.07","","","1500000","4102981",""
"Victor Sanchez","ESP","Espanyol","La Liga","2017-2018","1727.57","29","34","DF,MF","DefensiveWideProgressor","2452","29","17.76","82.24","Right","-0.2","-0.06","2.66","-0.01","0.1","-0.06","","","2400000","",""
"Anibal Godoy","PAN","San Jose","MLS","2019","","28","31","MF","DefensiveCentralProgressor","1343","15","83.54","16.46","Left","-0.2","0","1.86","-0.13","0.12","0","498125","386313","","","114258"
